artist_names;song_name;track_id;release_date;duration_ms;genres;explicit;popularity;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo
['KANKAN', 'Yeat'];Fuk Tha Clout (feat. Yeat);2u8p7hcPih3EhieDLnsnUH;2021-10-05;168401;['pluggnb', 'rage rap'];True;55;0.544;0.34;1;-14.164;1;0.305;0.0176;0;0.257;0.147;154.101
['03 Greedo'];Substance;0MoQI1EZGSHLhd5UBdxPol;2018-03-09;219834;['melodic rap', 'cali rap'];True;66;0.599;0.32;3;-13.716;0;0.0787;0.26;0;0.106;0.197;70.998
['Travis Scott'];NC-17;6BJbOXDlgVAXSaq6wYFYT2;2018-08-03;156886;['rap', 'slap house'];True;63;0.804;0.763;2;-5.48;1;0.0519;0.0678;0;0.368;0.0585;136.052
['Brent Faiyaz'];Forever Yours;2JqkpMe2eJToJNHEqkJeCu;2023-10-27;96369;['rap', 'r&b'];True;78;0.646;0.503;2;-7.472;1;0.0312;0.00426;0.000279;0.652;0.789;137.007
['A$AP Rocky'];Tailor Swif;5xMjhZKSo8yh5r9b5vrYRr;2024-08-30;155391;['rap', 'east coast hip hop', 'hip hop'];True;74;0.824;0.527;8;-5.506;1;0.118;0.149;0;0.368;0.212;77.499
['Denzel Curry', 'TiaCorine', 'A$AP Ferg'];HOT ONE (with TiaCorine & A$AP Ferg);2TmS5wJTfWrpFgakSSTdCi;2024-07-19;165271;['dark trap', 'pop rap', 'trap', 'underground hip hop', 'drill', 'rap', 'southern hip hop', 'trap queen', 'miami hip hop', 'hip hop'];True;66;0.788;0.715;5;-5.211;1;0.119;0.698;0;0.152;0.819;81.523
['Ramirez'];Na Na Na Na Na (Caught Slippin);6dkYNFH4F8BttEgtjIPoI3;2017-06-10;153260;['dark trap', 'cloud rap', 'phonk'];True;54;0.833;0.895;9;-4.764;1;0.204;0.0623;0.00031;0.317;0.77;93.99
['Mustard', 'Travis Scott'];Parking Lot;4IFd7EVCyJsUHesBMXI8ju;2024-06-21;175321;['pop rap', 'trap', 'slap house', 'rap', 'southern hip hop', 'cali rap'];True;71;0.724;0.555;3;-7.2;1;0.0507;0.17;2.61e-05;0.322;0.408;100.047
['Free Nationals', 'A$AP Rocky', 'Anderson .Paak'];Gangsta;49oKnEjgRSs3DMXScEU2G1;2024-02-23;194521;['neo soul', 'alternative r&b', 'escape room', 'rap', 'east coast hip hop', 'indie soul', 'hip hop'];True;55;0.642;0.784;9;-5.098;0;0.121;0.429;0.000166;0.225;0.518;79.969
['Young Igi', 'Oki', 'Sergiusz', '2K'];BRAK REGU£;1U7pE3ztxh37auLRtIaWrK;2024-05-23;154055;['polish trap', 'polish hip hop'];True;51;0.822;0.728;8;-6.203;1;0.251;0.237;0;0.141;0.676;139.963
